impact_location,file,frequency_hz,FRF_magnitude,phase_deg
1,SIG0029.csv,23.875,18.08550136740146,128.64128504287646
1,SIG0029.csv,154.375,41.352942302300725,80.23536563759347
1,SIG0029.csv,428.25,23.57504410713283,76.52771171925207
1,SIG0029.csv,839.75,27.44566714955223,76.99913808936321
1,SIG0029.csv,1382.625,10.46304329108282,84.10116479730145
2,SIG0030.csv,23.875,15.077510280319375,125.52577561294562
2,SIG0030.csv,154.375,26.641527666552896,81.24264704734377
2,SIG0030.csv,428.375,5.946503888601342,77.77054526031108
2,SIG0030.csv,839.75,8.895245857039438,-81.3613791748995
2,SIG0030.csv,1382.75,17.086115146969668,-74.34997090263094
3,SIG0031.csv,23.875,14.59038682552588,121.82958353457497
3,SIG0031.csv,154.5,13.189454080900319,62.80421119473924
3,SIG0031.csv,427.875,8.222180309812698,-76.64350011372213
3,SIG0031.csv,840.375,32.52401028841204,-106.94833719400826
3,SIG0031.csv,1383.0,27.589159572233992,-89.46215098825152
4,SIG0032.csv,23.875,12.807835577397137,123.54795824323752
4,SIG0032.csv,428.375,18.23030411223308,-97.9997232637156
4,SIG0032.csv,840.125,40.13931006094683,-97.62153386275932
4,SIG0032.csv,1383.0,23.119547053915355,-99.77997987446241
5,SIG0033.csv,23.875,11.47734510579328,120.83579141558167
5,SIG0033.csv,154.5,10.856664758568861,-112.25763342465085
5,SIG0033.csv,428.0,25.286389723850245,-80.93956757839427
5,SIG0033.csv,840.125,37.66366119384585,-92.36976898264736
5,SIG0033.csv,1383.125,5.954018597051133,-98.87017473162754
6,SIG0034.csv,23.875,11.329286516577303,120.25986685835225
6,SIG0034.csv,154.5,22.51632503511469,-110.87684877470114
6,SIG0034.csv,428.25,26.51027572974075,-88.53753906216791
6,SIG0034.csv,840.5,18.905373782964453,-99.16011042368032
6,SIG0034.csv,1383.0,17.81706423363171,97.14213242940039
7,SIG0035.csv,23.875,9.594180035151494,112.48172848650931
7,SIG0035.csv,154.5,32.19684010178112,-112.34803687438205
7,SIG0035.csv,427.875,22.486859672103318,-77.09335143537832
7,SIG0035.csv,840.375,8.337574748214207,63.654042885717104
7,SIG0035.csv,1383.25,30.717814314271326,87.65121400344314
8,SIG0036.csv,23.875,8.440233527566804,112.02153955490333
8,SIG0036.csv,154.375,39.55813201401837,-94.94500493853374
8,SIG0036.csv,428.25,13.75250874708335,-96.55328058485108
8,SIG0036.csv,840.5,33.063219216329195,68.7252873715988
8,SIG0036.csv,1383.125,26.800385956843762,86.20887622062631
9,SIG0037.csv,23.875,6.894624993022115,116.30828907092199
9,SIG0037.csv,154.375,42.52120539057845,-98.83997364715711
9,SIG0037.csv,428.125,2.618876034125217,-104.0318257313531
9,SIG0037.csv,840.125,43.711461276649274,79.60335837714905
9,SIG0037.csv,1383.0,7.854984028087931,80.7421621756394
10,SIG0038.csv,23.875,6.399321389924906,104.87625311006452
10,SIG0038.csv,154.5,43.67441197375934,-117.29994996139233
10,SIG0038.csv,428.25,8.429392990129095,78.67749731397333
10,SIG0038.csv,839.875,40.83522620553012,91.37548599706024
10,SIG0038.csv,1382.875,13.870124158341392,-96.54045602084851
11,SIG0039.csv,23.875,5.993565562287378,106.1081971429031
11,SIG0039.csv,154.5,42.52430117577757,-112.87325710669363
11,SIG0039.csv,428.125,18.920915538018413,88.24619151162891
11,SIG0039.csv,840.5,25.357217915768675,65.52195316206011
11,SIG0039.csv,1383.375,30.12413119361882,-100.69935250782665
12,SIG0040.csv,23.875,4.932510569072031,101.12582096198439
12,SIG0040.csv,154.5,38.46343814341646,-109.32875645825243
12,SIG0040.csv,428.125,27.26213950017373,92.65687965997952
12,SIG0040.csv,840.375,2.731128210096667,-50.44275749652243
12,SIG0040.csv,1383.0,28.420015704873986,-89.92984397317645
13,SIG0041.csv,23.875,2.5321747020683363,122.52179491255778
13,SIG0041.csv,154.5,33.39631338751072,-115.04045378494688
13,SIG0041.csv,428.0,28.805045962960165,94.60473247896591
13,SIG0041.csv,840.25,26.940855654470628,-102.78339687216166
13,SIG0041.csv,1382.75,8.811561923016725,-89.42248353077177
14,SIG0042.csv,23.875,1.6016067760213686,107.22431158564365
14,SIG0042.csv,154.5,25.561902417030883,-117.61426264714791
14,SIG0042.csv,427.875,27.408845216844245,97.57750248247739
14,SIG0042.csv,840.375,44.862381866900996,-113.87312233406469
14,SIG0042.csv,1382.75,11.96314527508516,83.4405681122602
15,SIG0043.csv,154.5,18.28228062824575,-112.86150812151638
15,SIG0043.csv,428.0,22.44333980520231,94.03277644717053
15,SIG0043.csv,840.25,50.9624459001674,-102.80041110566013
15,SIG0043.csv,1383.625,27.178335813712753,66.37373137165447
16,SIG0044.csv,154.5,9.586709101333193,-110.99603015287958
16,SIG0044.csv,428.0,13.758754779099544,94.17861923206422
16,SIG0044.csv,840.375,37.67481987585411,-106.47950618260982
16,SIG0044.csv,1382.875,27.48119368180419,87.9862542936775
17,SIG0045.csv,154.625,3.564184593968601,-124.894204369444
17,SIG0045.csv,428.125,6.297691780081222,90.75936057080553
17,SIG0045.csv,840.625,20.85001976764703,-105.9493537071869
17,SIG0045.csv,1383.625,18.14373986254093,82.44858619782035
